timestamp,X,Y,Z
1764346965904,3.457050,-2.086950,-0.538050
1764346965914,3.972000,-2.320050,-0.720000
1764346965924,3.985950,-2.238000,-0.910950
1764346965934,4.225950,-2.655000,-1.969950
1764346965944,4.735950,-3.285000,-2.707050
1764346965954,5.167050,-3.763050,-3.166950
1764346965964,5.257950,-4.237050,-2.692950
1764346965974,5.100000,-4.633050,-1.855050
1764346965984,4.915050,-5.017950,-1.042950
1764346965994,5.161950,-5.923050,-0.705000
1764346966004,5.440050,-6.760950,-0.496950
1764346966014,5.539950,-7.723051,0.117000
1764346966024,5.205000,-8.449050,-0.016050
1764346966034,5.047050,-9.735001,-1.869000
1764346966044,4.350000,-11.937000,-9.319950
1764346966054,0.100050,-16.288052,-32.208000
1764346966063,-11.431050,-18.232050,-17.131950
1764346966073,-11.713950,-16.534050,-5.910000
1764346966083,-5.596950,-17.443951,-7.588950
1764346966093,0.205950,-15.298951,-9.765000
1764346966103,1.027050,-12.768001,-12.238050
1764346966113,-0.772050,-11.524951,-10.555051
1764346966123,0.124050,-10.777950,-2.523000
1764346966133,3.807000,-10.588950,0.759000
1764346966143,6.864000,-9.744000,1.767000
1764346966153,7.408051,-8.286000,4.350000
1764346966163,7.897950,-6.964050,1.954050
1764346966173,10.126950,-6.538050,-3.559050
1764346966183,13.407001,-7.039050,-5.898000
1764346966193,14.511001,-8.260051,-1.036050
1764346966203,13.840951,-9.379951,0.310950
1764346966213,12.238951,-9.991051,0.144000
1764346966223,11.061001,-10.522051,-1.519050
1764346966233,9.754050,-10.471951,-3.901950
1764346966243,8.284050,-10.711050,-5.155950
1764346966252,7.063050,-11.398951,-4.761000
1764346966262,6.238950,-12.250951,-3.157050
1764346966272,5.526000,-12.382951,-1.579050
1764346966282,4.408050,-11.916000,-0.966000
1764346966292,3.088050,-10.948050,-0.712950
1764346966302,1.980000,-9.334950,-0.555000
1764346966312,1.144050,-7.668000,-0.691050
1764346966322,0.687000,-6.268050,-0.859050
1764346966332,0.526950,-5.182950,-0.871050
1764346966342,0.364050,-4.312050,-0.825000
1764346966352,0.144000,-3.406950,-0.538050
1764346966362,0.004950,-2.776950,-0.415950
1764346966372,0.073950,-2.566050,-0.178950
1764346966382,0.247050,-2.506050,0.241950
1764346966392,0.535950,-2.506050,0.759000
1764346966402,1.072950,-2.662050,0.931050
1764346966412,1.575000,-3.072000,0.756000
1764346966422,1.894050,-3.514050,0.610050
1764346966432,2.217000,-4.312050,0.558000
1764346966442,2.727000,-5.217000,0.562950
1764346966451,3.244050,-6.165000,0.646050
1764346966461,3.900000,-7.201951,0.751950
1764346966471,4.432050,-8.092051,0.775950
1764346966481,4.755000,-8.892000,0.405000
1764346966491,4.969950,-9.660001,-0.223950
1764346966501,5.221950,-10.411950,-0.775050
